Col # ,Field Name ,Data Type ,Format ,Description ,,,Client Field Definition 
1,Detail ,Text 6 characters maximum ,String ,,,,
2,Request Key ,Numeric ,Integer ,"This is an integer that uniquely defines this payment request in Concur. This is the value that the Request Payment Confirmation Import uses to match to this particular payment request. 
& Refer to Invoice: Import and Extract File Specifications – Payment Request Confirmation Import. ",,,
3,Policy Name ,String ,64,The name of the Policy for the payment request. Also known as the Payment Request Type. ,,,
4,Title ,String ,100,The Payment Request Name. ,,,
5,Description ,String ,250,Payment Request's description. ,,,
6,Vendor Invoice Number ,String ,50,,,,
7,Invoice Date ,Date ,YYYY-MM-DD ,,,,
8,Payment Due Date ,Date ,YYYY-MM-DD ,,,,
9,Invoice Amount ,Numeric ,23,,,,
10,Total Amount ,Numeric ,23,The sum of all Line Item Amounts plus Shipping Amount and Tax Amount for the payment request. ,,,
11,Creation Date ,Date ,YYYY-MM-DD ,The date the Invoice user first saved the payment request. ,,,
12,Submit Date ,Date ,YYYY-MM-DD ,The date the payment request was submitted. ,,,
13,PO Number ,String ,32,,,,
14,Request Custom 1 ,String ,48,,,,
15,Request Custom 2 ,String ,48,,,,
16,Request Custom 3 ,String ,48,,,,
17,Request Custom 4 ,String ,48,,,,
18,Request Custom 5 ,String ,48,,,,
19,Request Custom 6 ,String ,48,,,,
20,Request Custom 7 ,String ,48,,,,
21,Request Custom 8 ,String ,48,,,,
22,Request Custom 9 ,String ,48,,,,
23,Request Custom 10 ,String ,48,,,,
24,Request Custom 11 ,String ,48,,,,
25,Request Custom 12 ,String ,48,,,,
26,Request Custom 13 ,String ,48,,,,
27,Request Custom 14 ,String ,48,,,,
28,Request Custom 15 ,String ,48,,,,
29,Request Custom 16 ,String ,48,,,,
30,Request Custom 17 ,String ,48,,,,
31,Request Custom 18 ,String ,48,,,,
32,Request Custom 19 ,String ,48,,,,
33,Request Custom 20 ,String ,48,,,,
34,Request Custom 21 ,String ,48,,,,
35,Request Custom 22 ,String ,48,,,,
36,Request Custom 23 ,String ,48,,,,
37,Request Custom 24 ,String ,48,,,,
38,Request ORG Unit 1 ,String ,48,,,,
39,Request ORG Unit 2 ,String ,48,,,,
40,Request ORG Unit 3 ,String ,48,,,,
41,Request ORG Unit 4 ,String ,48,,,,
42,Request ORG Unit 5 ,String ,48,,,,
43,Request ORG Unit 6 ,String ,48,,,,
44,Note to Approvers ,String ,500,,,,
45,Notes to Vendor ,String ,500,,,,
46,Request Group Code ,String ,329,The Payment Group Code the Invoice user belonged to at the time they created the payment request. See Feature Hierarchies and Payment Groups for details. ,,,
47,Request Group Name ,String ,64,The Payment Group Code the Invoice user belonged to at the time they created the payment request. See Feature Hierarchies and Payment Groups for details. ,,,
48,Image Available ,Y/N ,1,The invoice image for the payment request that is related to this journal entry if available. ,,,
49,Shipping Amount ,Numeric ,23,The value for the Shipping Amount header field. ,,,
50,Tax Amount ,Numeric ,23,The value for the Tax Amount header field. ,,,
51,Request ID ,String ,20,The unique identification assigned to the request. ,,,
52,Invoice Received Date ,Date ,mm/dd/yyyy ,"The value of the date on which the invoice was received (as Accounts Payable ""stamp"" when mail opened). ",,,
53,Payment Method Type ,String ,"Valid options include: 
• ACH 
• Client (that is, client paid) 
• Check 
• PAYPVD (Payment Provider) 
• Wire 
• Card 
• VCHER (Card Voucher)
","The method used to pay the invoice, as of the point in time the extract is run. 
NOTE: it is possible for the method to be changed or updated post-extract through either the Payment Confirmation import (if the client controls payments), or through Invoice Pay (using Payment Manager). ",,,
54,Future-use 6 ,String ,48,Reserved for future use. ,,,
55,Future-use 7 ,String ,48,Reserved for future use. ,,,
56,Future-use 8 ,String ,48,Reserved for future use. ,,,
57,Future-use 9 ,String ,48,Reserved for future use. ,,,
58,Prorated Shipping ,Numeric ,23,The calculated shipping amount related to this journal entry. ,,,
59,Ledger Code ,String ,20,,,,
60,Ledger Name ,String ,100,,,,
61,Journal Account Code ,String ,48,"The account code for this Journal Entry. This is the expense type account code. 
The Journal Account Code is generated using the Expense Type and the Account Code Hierarchy. 
& Refer to the Shared: Feature Hierarchies Setup Guide for more information. 
& Refer to the Invoice: Account Codes Setup Guide for more information.",,,
62,Journal Amount ,Numeric ,23,The net amount for this Journal Entry. This is net of tax and shipping. This amount is represented as absolute value or actual value (client choice). ,,,
63,Journal Gross Amount ,Numeric ,23,"The gross amount (includes any tax or shipping fees) for this Journal Entry. This is the value to be used for Journal Entry Purposes. This is also an absolute amount. 
Any Tax or Shipping amounts on the header form are split proportionally across line items with a ""debit amount"" (that is, line items with positive amounts). ",,,
64,Debit or Credit ,String ,2,Whether the Journal Amount and Journal Gross Amount are debits or credits. Values are DR or CR. ,,,
65,Requested Alpha Currency Code ,String ,3,This is the three-character ISO Currency Code for the payment request. It indicates what currency the Journal Amount and Journal Gross Amount represent. ,,,
66,Requested Numeric Currency Code ,String ,3,This is the three-digit Currency Code. ,,,
67,Request Currency Name ,String ,64,The currency name for this payment request. ,,,
68,Allocation Account Code ,String ,20,The Account Code for the Allocation related to this Journal Entry. ,,,
69,Allocation Custom 1 ,String ,48,,,,
70,Allocation Custom 2 ,String ,48,,,,
71,Allocation Custom 3 ,String ,48,,,,
72,Allocation Custom 4 ,String ,48,,,,
73,Allocation Custom 5 ,String ,48,,,,
74,Allocation Custom 6 ,String ,48,,,,
75,Allocation Custom 7 ,String ,48,,,,
76,Allocation Custom 8 ,String ,48,,,,
77,Allocation Custom 9 ,String ,48,,,,
78,Allocation Custom 10 ,String ,48,,,,
79,Allocation Custom 11 ,String ,48,,,,
80,Allocation Custom 12 ,String ,48,,,,
81,Allocation Custom 13 ,String ,48,,,,
82,Allocation Custom 14 ,String ,48,,,,
83,Allocation Custom 15 ,String ,48,,,,
84,Allocation Custom 16 ,String ,48,,,,
85,Allocation Custom 17 ,String ,48,,,,
86,Allocation Custom 18 ,String ,48,,,,
87,Allocation Custom 19 ,String ,48,,,,
88,Allocation Custom 20 ,String ,48,,,,
89,Allocation Key ,Integer ,,A unique identifier for the Allocation row. ,,,
90,Receipts Matched Total ,Numeric ,23,"This field provides the received quantity total value. Thus, it will take the allocated received quantity and multiply it by the line unit price. ",,,
91,GRN ,String ,256,Goods Receipt Number of the receipt which is associated to the invoice line item. ,,,
92,DSN ,String ,256,Delivery Slip Number of the receipt which is associated to the invoice line item. ,,,
93,Matched Receipts with Quantity ,String ,48,This indicates the quantity of each receipt that is matched with the specific invoice line item. ,,,
94,Employee ID ,String ,48,,,,
95,Employee Login ID ,String ,64,,,,
96,Employee First Name ,String ,32,,,,
97,Employee Middle Initial ,String ,1,,,,
98,Employee Last Name ,String ,32,,,,
99,Employee Email Address ,String ,255,,,,
100,Employee Custom 1 ,String ,48,,,,
101,Employee Custom 2 ,String ,48,,,,
102,Employee Custom 3 ,String ,48,,,,
103,Employee Custom 4 ,String ,48,,,,
104,Employee Custom 5 ,String ,48,,,,
105,Employee Custom 6 ,String ,48,,,,
106,Employee Custom 7 ,String ,48,,,,
107,Employee Custom 8 ,String ,48,,,,
108,Employee Custom 9 ,String ,48,,,,
109,Employee Custom 10 ,String ,48,,,,
110,Employee Custom 11 ,String ,48,,,,
111,Employee Custom 12 ,String ,48,,,,
112,Employee Custom 13 ,String ,48,,,,
113,Employee Custom 14 ,String ,48,,,,
114,Employee Custom 15 ,String ,48,,,,
115,Employee Custom 16 ,String ,48,,,,
116,Employee Custom 17 ,String ,48,,,,
117,Employee Custom 18 ,String ,48,,,,
118,Employee Custom 19 ,String ,48,,,,
119,Employee Custom 20 ,String ,48,,,,
120,Employee Org Unit 1 ,String ,48,,,,
121,Employee Org Unit 2 ,String ,48,,,,
122,Employee Org Unit 3 ,String ,48,,,,
123,Employee Org Unit 4 ,String ,48,,,,
124,Employee Org Unit 5 ,String ,48,,,,
125,Employee Org Unit 6 ,String ,48,,,,
126,Employee Custom 21 ,String ,48,,,,
127,Employee Custom 22 ,String ,48,,,,
